
Sync-Point 0, TimeBin=0, Time: 0.01, Redshift: 99, Systemstep: 0, Dloga: 0, Nsync-grv:      10648, Nsync-hyd:          0
Sync-Point 126, TimeBin=19, Time: 0.0176236, Redshift: 55.7422, Systemstep: 7.90794e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 127, TimeBin=19, Time: 0.017703, Redshift: 55.4876, Systemstep: 7.94358e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 128, TimeBin=19, Time: 0.0177828, Redshift: 55.2341, Systemstep: 7.97939e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 129, TimeBin=19, Time: 0.0178629, Redshift: 54.9818, Systemstep: 8.01535e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 130, TimeBin=19, Time: 0.0179435, Redshift: 54.7306, Systemstep: 8.05148e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 131, TimeBin=19, Time: 0.0180243, Redshift: 54.4805, Systemstep: 8.08777e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 132, TimeBin=19, Time: 0.0181056, Redshift: 54.2316, Systemstep: 8.12423e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 133, TimeBin=19, Time: 0.0181872, Redshift: 53.9838, Systemstep: 8.16085e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 134, TimeBin=19, Time: 0.0182692, Redshift: 53.737, Systemstep: 8.19763e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 135, TimeBin=19, Time: 0.0183515, Redshift: 53.4914, Systemstep: 8.23458e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 136, TimeBin=19, Time: 0.0184342, Redshift: 53.2469, Systemstep: 8.2717e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 137, TimeBin=19, Time: 0.0185173, Redshift: 53.0035, Systemstep: 8.30898e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 138, TimeBin=19, Time: 0.0186008, Redshift: 52.7612, Systemstep: 8.34643e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 139, TimeBin=19, Time: 0.0186846, Redshift: 52.5199, Systemstep: 8.38405e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 140, TimeBin=19, Time: 0.0187688, Redshift: 52.2798, Systemstep: 8.42184e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 141, TimeBin=19, Time: 0.0188534, Redshift: 52.0407, Systemstep: 8.4598e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

